course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 490,Computer Architecture,Wenyao Xu,LEC,3.00,TR,1:00PM-4:30PM,0,0,4,30
CSE 496,Internship/Practicum,Ahmet Erdem Sariyuce,TUT,1.00-5.00,ARR,12:00AM,0,20,0,20
CSE 496,Internship/Practicum,Ahmet Erdem Sariyuce,TUT,1.00-5.00,ARR,12:00AM,0,20,2,20
CSE 496,Internship/Practicum,Ahmet Erdem Sariyuce,TUT,1.00-5.00,UNKWN,Unknown,0,30,0,30
CSE 496,Internship/Practicum,Ahmet Erdem Sariyuce,TUT,1.00-5.00,UNKWN,Unknown,0,2,0,2
CSE 498,Undergraduate Research and Creative Activity,Bina Ramamurthy,TUT,1.00-6.00,ARR,Unknown,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Kris D. Schindler,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Kris D. Schindler,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Kris D. Schindler,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Kris D. Schindler,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,ARR,12:00AM,0,10,0,10
CSE 498,Undergraduate Research and Creative Activity,Chunming Qiao,TUT,1.00-6.00,UNKWN,Unknown,0,5,0,5
CSE 498,Undergraduate Research and Creative Activity,Jennifer Winikus,TUT,1.00-6.00,UNKWN,Unknown,0,5,0,5
CSE 498,Undergraduate Research and Creative Activity,Bina Ramamurthy,TUT,1.00-6.00,UNKWN,Unknown,0,5,0,5
CSE 498,Undergraduate Research and Creative Activity,Tevfik Kosar,TUT,1.00-6.00,UNKWN,Unknown,0,1,0,1
CSE 499,Independent Study,Ramalingam Sridhar,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Kris D. Schindler,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Ramalingam Sridhar,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Ramalingam Sridhar,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Ramalingam Sridhar,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Shambhu J. Upadhyaya,TUT,1.00-4.00,ARR,12:00AM,0,10,0,10
CSE 499,Independent Study,Oliver Kennedy,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 499,Independent Study,Staff,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 499,Independent Study,Oliver Kennedy,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 499,Independent Study,Oliver Kennedy,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 499,Independent Study,Michael F. Buckley,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
