course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 486,Distributed Systems,Ethan Blanton,LEC,3.00,MWF,11:00AM-11:50AM,0,0,110,110
CSE 487,Data Intensive Computing,Eric Mikida,LEC,3.00,MWF,11:00AM-11:50AM,0,0,13,14
CSE 489,Modern Networking Concepts,Chunming Qiao,LEC,3.00,TR,2:00PM-3:20PM,0,0,49,53
CSE 490,Computer Architecture,Ramalingam Sridhar,LEC,3.00,MWF,2:00PM-2:50PM,0,0,72,70
CSE 492,Undergraduate Peer Mentoring,Alan M. Hunt,TUT,1.00-3.00,UNKWN,Unknown,0,10,0,10
CSE 495,Supervised Teaching,Jesse L. Hartloff,TUT,1.00-4.00,UNKWN,Unknown,0,20,20,20
CSE 495,Supervised Teaching,Ethan Blanton,TUT,1.00-4.00,UNKWN,Unknown,0,30,21,30
CSE 495,Supervised Teaching,Lukasz Ziarek,TUT,1.00-4.00,UNKWN,Unknown,0,5,0,5
CSE 495,Supervised Teaching,Ahmet Erdem Sariyuce,TUT,1.00-4.00,UNKWN,Unknown,0,15,0,15
CSE 495,Supervised Teaching,Staff,TUT,1.00-4.00,UNKWN,Unknown,0,1,1,1
CSE 495,Supervised Teaching,Ramalingam Sridhar,TUT,1.00-4.00,UNKWN,Unknown,0,10,3,10
CSE 495,Supervised Teaching,Varun Chandola,TUT,1.00-4.00,UNKWN,Unknown,0,5,0,5
CSE 495,Supervised Teaching,Eric Mikida,TUT,1.00-4.00,UNKWN,Unknown,0,30,16,30
CSE 495,Supervised Teaching,Changyou Chen,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 495,Supervised Teaching,Wenyao Xu,TUT,1.00-4.00,UNKWN,Unknown,0,30,0,30
CSE 495,Supervised Teaching,Kris D. Schindler,TUT,1.00-4.00,UNKWN,Unknown,0,15,15,15
CSE 495,Supervised Teaching,Matthew Knepley,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 495,Supervised Teaching,Karthik Dantu,TUT,1.00-4.00,UNKWN,Unknown,0,1,1,1
CSE 495,Supervised Teaching,Carl Alphonce,TUT,1.00-4.00,UNKWN,Unknown,0,10,5,10
CSE 495,Supervised Teaching,Jaroslaw Zola,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 495,Supervised Teaching,Jennifer Winikus,TUT,1.00-4.00,UNKWN,Unknown,0,20,8,20
CSE 495,Supervised Teaching,Farshad Ghanei,TUT,1.00-4.00,UNKWN,Unknown,0,10,8,10
CSE 495,Supervised Teaching,Paul Dickson,TUT,1.00-4.00,UNKWN,Unknown,0,30,30,30
CSE 495,Supervised Teaching,Kenneth W. Regan,TUT,1.00-4.00,UNKWN,Unknown,0,5,0,5
CSE 495,Supervised Teaching,Sreyasee Das Bhattacharjee,TUT,1.00-4.00,UNKWN,Unknown,0,10,0,10
CSE 495,Supervised Teaching,Matthew Hertz,TUT,1.00-4.00,UNKWN,Unknown,0,20,1,20
CSE 495,Supervised Teaching,Nasrin Akhter,TUT,1.00-4.00,UNKWN,Unknown,0,10,25,10
CSE 495,Supervised Teaching,Russ Miller,TUT,1.00-4.00,UNKWN,Unknown,0,10,1,10
CSE 495,Supervised Teaching,Bina Ramamurthy,TUT,1.00-4.00,UNKWN,Unknown,0,10,2,10
CSE 495,Supervised Teaching,Alan M. Hunt,TUT,1.00-4.00,UNKWN,Unknown,0,10,3,10
CSE 496,Internship/Practicum,Ahmet Erdem Sariyuce,TUT,1.00-5.00,UNKWN,Unknown,0,10,12,10
CSE 497,Departmental Honors Thesis or Project,Shi Li,TUT,3.00,UNKWN,Unknown,0,1,0,1
CSE 498,Undergraduate Research and Creative Activity,Ahmet Erdem Sariyuce,TUT,1.00-6.00,UNKWN,Unknown,0,5,0,5
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,UNKWN,Unknown,0,5,0,5
CSE 498,Undergraduate Research and Creative Activity,David Doermann,TUT,1.00-6.00,UNKWN,Unknown,0,10,1,10
CSE 498,Undergraduate Research and Creative Activity,Oliver Kennedy,TUT,1.00-6.00,UNKWN,Unknown,0,10,0,10
