course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,enrolled
CSE 495,Supervised Teaching,Oliver Kennedy,TUT,1.00-4.00,UNKWN,Unknown, 0/30,15/30
CSE 495,Supervised Teaching,Ramalingam Sridhar,TUT,1.00-4.00,UNKWN,Unknown, 0/30, 1/30
CSE 495,Supervised Teaching,Jennifer Winikus,TUT,1.00-4.00,UNKWN,Unknown, 0/30, 8/30
CSE 495,Supervised Teaching,Jesse L. Hartloff,TUT,1.00-4.00,UNKWN,Unknown, 0/30,13/30
CSE 495,Supervised Teaching,Ethan Blanton,TUT,1.00-4.00,UNKWN,Unknown, 0/30,21/30
CSE 495,Supervised Teaching,Kris D. Schindler,TUT,1.00-4.00,UNKWN,Unknown, 0/30, 6/30
CSE 495,Supervised Teaching,Wenyao Xu,TUT,1.00-4.00,UNKWN,Unknown, 0/30, 0/30
CSE 496,Internship/Practicum,Jinjun Xiong,TUT,1.00-5.00,UNKWN,Unknown, 0/10,13/10
CSE 497,Departmental Honors Thesis or Project,Wenyao Xu,TUT,3.00,UNKWN,Unknown, 0/ 1, 1/ 1
CSE 498,Undergraduate Research and Creative Activity,Jaroslaw Zola,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Bina Ramamurthy,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Sreyasee Das Bhattacharjee,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Kris D. Schindler,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Karthik Dantu,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Marina Blanton,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Ziming Zhao,TUT,1.00-6.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 498,Undergraduate Research and Creative Activity,Wenyao Xu,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Oliver Kennedy,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 2/10
CSE 498,Undergraduate Research and Creative Activity,Jennifer Winikus,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Kenneth A. Joseph,TUT,1.00-6.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 498,Undergraduate Research and Creative Activity,Carl Alphonce,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Chunming Qiao,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Shambhu J. Upadhyaya,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Jesse L. Hartloff,TUT,1.00-6.00,UNKWN,Unknown, 0/10, 0/10
CSE 498,Undergraduate Research and Creative Activity,Junsong Yuan,TUT,1.00-6.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 499,Independent Study,Shambhu J. Upadhyaya,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Marina Blanton,TUT,1.00-4.00,UNKWN,Unknown, 0/12, 0/12
CSE 499,Independent Study,Jesse L. Hartloff,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 1/10
CSE 499,Independent Study,Kris D. Schindler,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Kenneth W. Regan,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Lukasz Ziarek,TUT,1.00-4.00,UNKWN,Unknown, 0/15, 0/15
CSE 499,Independent Study,Matthew Knepley,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Ziming Zhao,TUT,1.00-4.00,UNKWN,Unknown, 0/30, 1/30
CSE 499,Independent Study,Ramalingam Sridhar,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Atri Rudra,TUT,1.00-4.00,UNKWN,Unknown, 0/15, 0/15
CSE 499,Independent Study,Karthik Dantu,TUT,1.00-4.00,UNKWN,Unknown, 0/20, 0/20
CSE 499,Independent Study,Bina Ramamurthy,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Varun Chandola,TUT,1.00-4.00,UNKWN,Unknown, 0/20, 0/20
CSE 499,Independent Study,Chunming Qiao,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Jaroslaw Zola,TUT,1.00-4.00,UNKWN,Unknown, 0/20, 0/20
CSE 499,Independent Study,Mingchen Gao,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Andrew Hughes,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Rohini K. Srihari,TUT,1.00-4.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 499,Independent Study,Russ Miller,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Alan M. Hunt,TUT,1.00-4.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 499,Independent Study,Michael F. Buckley,TUT,1.00-4.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 499,Independent Study,Bharat Jayaraman,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Sargur N. Srihari,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Oliver Kennedy,TUT,1.00-4.00,UNKWN,Unknown, 0/15, 0/15
CSE 499,Independent Study,Zhanpeng Jin,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Venugopal Govindaraju,TUT,1.00-4.00,UNKWN,Unknown, 0/ 5, 0/ 5
CSE 499,Independent Study,Carl Alphonce,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Wenyao Xu,TUT,1.00-4.00,UNKWN,Unknown, 0/20, 0/20
CSE 499,Independent Study,Murat Demirbas,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Wen Dong,TUT,1.00-4.00,UNKWN,Unknown, 0/15, 0/15
CSE 499,Independent Study,Jinhui Xu,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Matthew Hertz,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
CSE 499,Independent Study,Xin He,TUT,1.00-4.00,UNKWN,Unknown, 0/10, 0/10
